id,time,H,P,T
0,2020-10-18 21:23:13,44,50,21.7
1,2020-10-18 21:23:15,44,76,21.7
2,2020-10-18 21:23:17,44,79,21.7
3,2020-10-18 21:23:19,44,85,21.7
4,2020-10-18 21:23:21,44,79,21.7
5,2020-10-18 21:23:23,44,77,21.7
6,2020-10-18 21:23:25,44,82,21.7
7,2020-10-18 21:23:27,44,85,21.7
8,2020-10-18 21:23:29,44,83,21.7
9,2020-10-18 21:23:31,44,79,21.7
10,2020-10-18 21:23:33,44,81,21.7
11,2020-10-18 21:23:35,44,79,21.7
12,2020-10-18 21:23:37,44,84,21.7
13,2020-10-18 21:23:39,44,80,21.7
14,2020-10-18 21:23:41,44,75,21.7
15,2020-10-18 21:23:43,44,79,21.7
16,2020-10-18 21:23:45,44,82,21.7
17,2020-10-18 21:23:47,44,85,21.7
18,2020-10-18 21:23:49,44,78,21.7
19,2020-10-18 21:23:51,44,84,21.7
20,2020-10-18 21:23:53,44,78,21.7
21,2020-10-18 21:23:55,44,84,21.7
